date,sales
2021-01-02,48294.18
2021-01-09,55062.42
2021-01-16,68850.32
2021-01-23,63638.06
2021-01-30,52006.13
2021-02-06,61008.81
2021-02-13,55942.14
2021-02-20,47341.08
2021-02-27,49371.61
2021-03-06,45877.05
2021-03-13,47153.02
2021-03-20,42449.1
2021-03-27,45621.48
2021-04-03,41170.34
2021-04-10,39546.07
2021-04-17,44994.95
2021-04-24,45335.22
2021-05-01,43191.2
2021-05-08,42629.479999999996
2021-05-15,41736.31
2021-05-22,44895.16
2021-05-29,42613.29
2021-06-05,42455.340000000004
2021-06-12,43910.61
2021-06-19,43960.090000000004
2021-06-26,42937.88
2021-07-03,43783.35
2021-07-10,51192.6
2021-07-17,44958.84
2021-07-24,44386.92
2021-07-31,44295.63
2021-08-07,45500.74
2021-08-14,46799.82
2021-08-21,48418.49
2021-08-28,46008.74
2021-09-04,46841.42
2021-09-11,47437.67
2021-09-18,49777.49
2021-09-25,52172.39
2021-10-02,54235.26
2021-10-09,55136.5
2021-10-16,55933.94
2021-10-23,58764.92
2021-10-30,56754.28
2021-11-06,66107.97
2021-11-13,75669.45
2021-11-20,60239.079999999994
2021-11-27,60268.54
2021-12-04,46507.52
2021-12-11,55115.76
2021-12-18,51796.69
2021-12-25,57888.21
2022-01-01,52320.200000000004
2022-01-08,64920.85
2022-01-15,69368.03
2022-01-22,88109.97
2022-01-29,89014.56999999999
2022-02-05,97050.76
2022-02-12,67783.81
2022-02-19,66862.58
2022-02-26,56322.21
2022-03-05,56982.2
2022-03-12,55573.84
2022-03-19,60057.65
2022-03-26,51822.9
2022-04-02,54967.049999999996
2022-04-09,54753.72
2022-04-16,53204.49
2022-04-23,46627.51
2022-04-30,50704.78
2022-05-07,52031.72
2022-05-14,49385.44
2022-05-21,53403.590000000004
2022-05-28,52456.3
2022-06-04,54020.42
2022-06-11,60705.12
2022-06-18,55157.439999999995
2022-06-25,52837.76
2022-07-02,53713.77
2022-07-09,54884.34
2022-07-16,56401.270000000004
2022-07-23,56918.43
2022-07-30,57248.72
2022-08-06,55961.99
2022-08-13,58223.13
2022-08-20,60552.28
2022-08-27,60509.05
2022-09-03,60886.8
2022-09-10,60959.39
2022-09-17,62287.07
2022-09-24,63308.37
2022-10-01,111106.57
2022-10-08,67932.53
2022-10-15,64724.590000000004
2022-10-22,72760.45
2022-10-29,70293.65000000001
2022-11-05,70041.43
2022-11-12,81136.25
2022-11-19,66701.79000000001
2022-11-26,76536.24
2022-12-03,48163.74
2022-12-10,62260.32
2022-12-17,64366.33
2022-12-24,78329.47
2022-12-31,80477.18
2023-01-07,67231.72
2023-01-14,74741.33
2023-01-21,92028.74
2023-01-28,68642.89
2023-02-04,69786.87999999999
2023-02-11,68650.56
2023-02-18,75114.02
2023-02-25,64559.1
2023-03-04,61452.13
2023-03-11,60628.23
2023-03-18,61563.59
2023-03-25,65993.32
2023-04-01,58592.77
2023-04-08,59133.909999999996
2023-04-15,53993.75
2023-04-22,61527.04
2023-04-29,57086.86
2023-05-06,58527.58
2023-05-13,58242.979999999996
2023-05-20,53782.5
2023-05-27,56848.1
2023-06-03,55181.39
2023-06-10,57727.64
2023-06-17,56510.76
2023-06-24,56896.21
2023-07-01,55867.6
