salon_id,salon_type,monthly_sales,social_tags,social_followers,check_ins,avg_income,urban_density,avg_review,future_sales_90p
salon_000,Other,0.0,44,1291,833,60540.70874260486,0.9679940665042344,3.5,0.0
salon_001,hair_salon,24438.742297966783,53,6413,807,62403.51156077477,0.7109524788367483,4.6,22369.411723752703
salon_002,Other,24471.661650543807,47,7038,251,68233.52516278965,0.1995069273383197,1.6,11840.402951741264
salon_003,Other,23774.98898622368,56,2781,260,80524.5274174549,0.7362471836984882,1.4,16596.80268887714
salon_004,hair_salon,18964.17054947713,38,9509,886,62511.94972219674,0.5298400231811167,2.0,23385.66373832898
salon_005,hair_salon,16882.6130250752,61,1640,14,55462.03335027844,0.7072300956444445,3.9,17704.145158442767
salon_006,Other,12459.233552262587,53,6272,128,39707.69144906012,0.7677795014428388,3.4,26133.029482196707
salon_007,barber_shop,25498.2348789241,42,5641,810,79613.03471963637,0.0872901795896754,1.4,24800.69530158917
salon_008,Other,19111.33939364673,54,9680,383,57367.5828742804,0.506103956359347,4.7,30204.22152833196
salon_009,Other,17948.083456568496,44,1465,74,65348.09290081267,0.932014342256934,4.2,27749.522956915425
salon_010,Other,0.0,44,8791,155,79059.07236926994,0.3206421921595143,1.1,0.0
salon_011,Other,15508.960302721607,55,9972,233,62276.02320930492,0.5938830975578988,3.6,26487.88260437149
salon_012,hair_salon,24173.977096152143,58,8802,248,58053.2973812252,0.3692304815098961,4.1,28030.61297379793
salon_013,Other,21482.806921644853,51,7594,186,74196.72977543744,0.4542679722190996,2.5,18955.376284552105
salon_014,barber_shop,14810.85061742259,47,4412,788,64607.37067563919,0.5486031179381532,1.3,20024.014010081188
salon_015,hair_salon,19620.981274859078,48,1424,862,65861.056047234,0.5489219798889773,1.3,21419.043775639537
salon_016,barber_shop,24864.81766877894,53,9447,291,44768.39129528239,0.2017304623302358,1.4,19146.816735013905
salon_017,barber_shop,23977.97731947971,50,3241,72,72059.15207242586,0.6845715478798333,4.4,28094.121670380904
salon_018,barber_shop,27477.171264417368,50,7519,226,63755.88067991645,0.0878681112426568,4.6,18236.136749936173
salon_019,barber_shop,21690.9062599666,55,3586,863,46284.10620276876,0.1388247734420203,1.5,29509.908828398948
salon_020,hair_salon,36861.48126813336,47,1910,836,64850.94111613275,0.0027108994143296,1.9,19798.160806717704
salon_021,hair_salon,15398.04597466312,63,6688,804,39374.7432608825,0.1166960641416813,1.7,24834.37985703615
salon_022,barber_shop,0.0,59,3023,698,83419.75202512996,0.4731662010518922,1.7,0.0
salon_023,barber_shop,19695.67956262627,48,5401,470,48981.45200018239,0.6061018810558386,4.3,16144.12115025
salon_024,hair_salon,12906.247707042983,46,4286,938,76117.92765718437,0.7942894499664624,2.3,21880.661623055257
salon_025,hair_salon,25212.458086697105,51,9005,619,51870.44451881347,0.106699250113436,2.2,24001.861188703584
salon_026,hair_salon,24517.66245312921,54,6077,114,65602.25710970719,0.8507274600164547,1.9,21614.24387733701
salon_027,Other,20095.00165531075,39,4368,108,50878.71743390501,0.7459745255487181,3.4,13943.760648962296
salon_028,Other,17327.917731632475,50,4848,520,69971.1522189782,0.4085182929359169,2.5,32208.57546115703
salon_029,Other,12524.73064592832,55,4949,394,57646.81258092748,0.9329380670999546,4.0,22526.196897170412
salon_030,barber_shop,16053.7083565104,54,9535,414,64677.7954620771,0.9909294764573906,1.8,17234.18454901887
salon_031,Other,23718.556418856133,45,3809,832,60150.64381578995,0.2050018100532372,4.2,31724.608140803648
salon_032,barber_shop,18939.192891441868,62,9373,527,46343.35213516344,0.3792285849638004,3.4,25704.338858321957
salon_033,barber_shop,17865.656029801386,50,6719,485,65041.06859690535,0.9264494235897112,1.5,14798.980021590343
salon_034,Other,22507.241657624025,53,8747,986,54967.62514334252,0.7215965507512772,2.7,15733.03152160073
salon_035,barber_shop,25790.93326466014,46,9186,718,70453.12793007611,0.0480946439640876,4.5,20665.631680672945
salon_036,Other,21285.584350281395,39,9676,872,57641.40191849323,0.7815144817514149,4.7,23783.841873098936
salon_037,Other,21572.564479315857,51,3172,654,59232.36090971668,0.8279408871774919,2.9,25736.79898878353
salon_038,hair_salon,26859.310667748883,52,6630,879,76829.26464372937,0.7505019247653135,2.9,27701.070877171405
salon_039,Other,0.0,47,604,780,83816.3679450795,0.7995371309195156,4.7,0.0
salon_040,hair_salon,18453.557267777112,50,1314,446,67860.33955712082,0.8251326766927972,3.3,30080.47587184597
salon_041,Other,23365.62751386988,44,1631,32,57128.59902576615,0.1864049867881441,1.1,22760.758958082817
salon_042,Other,18716.84908653723,38,7676,574,56253.38671643856,0.2356917460649997,4.7,17442.163717130665
salon_043,hair_salon,18160.871379336197,51,923,686,51813.2301468142,0.6337585637201772,2.0,21979.89478204616
salon_044,hair_salon,0.0,53,1028,723,53747.61816446444,0.907866130462516,3.3,0.0
salon_045,Other,0.0,46,5129,467,57263.90256496031,0.3161965822964946,1.7,0.0
salon_046,barber_shop,6724.11976218265,45,233,92,79642.529669949,0.5883066757950567,1.1,18631.79884542605
salon_047,hair_salon,21727.589719443837,38,2205,154,58027.78329146476,0.6829820634171324,2.2,23885.222397702702
salon_048,barber_shop,18022.41774209853,54,3727,94,47739.46995801898,0.4519486012990392,4.1,19454.706608729284
salon_049,barber_shop,18554.31571765029,42,6416,87,60416.65267125383,0.713782454855326,2.1,18122.743829062005
salon_050,barber_shop,22264.681632667547,44,1952,466,61781.28425761065,0.8996674452921731,1.9,27468.257174827384
salon_051,hair_salon,19169.695458244674,55,5010,887,60356.35459850456,0.6241015441818376,1.9,16500.725051347363
salon_052,barber_shop,21074.694150473773,55,4275,10,67996.91222585208,0.539781061914633,3.1,26269.735902824938
salon_053,hair_salon,0.0,52,5448,60,60690.05511359034,0.438744675388339,4.9,0.0
